Zip code;State;Metro;County name;Date;Home value ($ per m2)
Eads;CO;;Kiowa County;2019-11-01;36
Basalt;CO;Edwards;Eagle County;2019-07-01;2204
Florissant;CO;Colorado Springs;Teller County;2019-11-01;201
Eagle;CO;Edwards;Eagle County;2019-01-01;261
Durango;CO;Durango;La Plata County;2019-07-01;274
Durango;CO;Durango;La Plata County;2019-08-01;274
Durango;CO;Durango;La Plata County;2019-01-01;274
Columbine Valley;CO;Denver-Aurora-Lakewood;Arapahoe County;2019-07-01;2185
Redstone;CO;Glenwood Springs;Pitkin County;2019-11-01;329
Redstone;CO;Glenwood Springs;Pitkin County;2019-09-01;329
Montrose;CO;Montrose;Montrose County;2019-09-01;166
Grand Lake;CO;;Grand County;2019-10-01;273
Carbondale;CO;Glenwood Springs;Garfield County;2019-05-01;1526
Galeton;CO;Greeley;Weld County;2019-10-01;276
West Pleasant View;CO;Denver-Aurora-Lakewood;Jefferson County;2019-12-01;1656
Woodland Park;CO;Colorado Springs;Teller County;2019-07-01;437
Woodland Park;CO;Colorado Springs;Teller County;2019-04-01;437
West Pleasant View;CO;Denver-Aurora-Lakewood;Jefferson County;2019-02-01;1656
Ault;CO;Greeley;Weld County;2019-12-01;214
West Pleasant View;CO;Denver-Aurora-Lakewood;Jefferson County;2019-03-01;1656
West Pleasant View;CO;Denver-Aurora-Lakewood;Jefferson County;2019-01-01;1656
Hesperus;CO;Durango;La Plata County;2019-03-01;195
Hesperus;CO;Durango;La Plata County;2019-04-01;195
Hesperus;CO;Durango;La Plata County;2019-06-01;195
Craig;CO;Craig;Moffat County;2019-08-01;123
Breckenridge;CO;Breckenridge;Summit County;2019-02-01;530
Fountain;CO;Colorado Springs;El Paso County;2019-02-01;328
Cripple Creek;CO;Colorado Springs;Teller County;2019-12-01;172
Cimarron;CO;;Gunnison County;2019-07-01;193
Cimarron;CO;;Gunnison County;2019-01-01;193
Deer Trail;CO;Denver-Aurora-Lakewood;Arapahoe County;2019-05-01;194
Cortez;CO;;Montezuma County;2019-09-01;177
Coaldale;CO;Cañon City;Fremont County;2019-10-01;221
Haxtun;CO;;Phillips County;2019-06-01;86
Haxtun;CO;;Phillips County;2019-02-01;86
Alma;CO;Denver-Aurora-Lakewood;Park County;2019-05-01;303
Alma;CO;Denver-Aurora-Lakewood;Park County;2019-01-01;303
Hugo;CO;;Lincoln County;2019-12-01;84
Hugo;CO;;Lincoln County;2019-06-01;84
Severance;CO;Greeley;Weld County;2019-11-01;465
Bow Mar;CO;Denver-Aurora-Lakewood;Arapahoe County;2019-09-01;474
Aspen;CO;Glenwood Springs;Pitkin County;2019-11-01;1446
Aspen;CO;Glenwood Springs;Pitkin County;2019-05-01;1446
Snowmass Village;CO;Glenwood Springs;Pitkin County;2019-07-01;3051
Palmer Lake;CO;Colorado Springs;El Paso County;2019-11-01;283
Palmer Lake;CO;Colorado Springs;El Paso County;2019-08-01;283
Dinosaur;CO;Craig;Moffat County;2019-03-01;61
Silt;CO;Glenwood Springs;Garfield County;2019-11-01;1402
Yellow Jacket;CO;;Montezuma County;2019-03-01;166
South Fork;CO;;Rio Grande County;2019-09-01;906
